country_code,code,label_fr
FR,1723Z,Fabrication d'articles de papeterie
FR,1724Z,Fabrication de papiers peints
FR,1729Z,Fabrication d'autres articles en papier ou en carton
FR,1811Z,Imprimerie de journaux
FR,1812Z,Autre imprimerie (labeur)
FR,1813Z,Activités de pré-presse
FR,1814Z,Reliure et activités connexes
FR,1820Z,Reproduction d'enregistrements
FR,1910Z,Cokéfaction
FR,1920Z,Raffinage du pétrole
FR,2011Z,Fabrication de gaz industriels
FR,2012Z,Fabrication de colorants et de pigments
FR,2013A,Enrichissement et retraitement de matières nucléaires
FR,2013B,Fabrication d'autres produits chimiques inorganiques de base n.c.a.
FR,2014Z,Fabrication d'autres produits chimiques organiques de base
FR,2015Z,Fabrication de produits azotés et d'engrais
FR,2016Z,Fabrication de matières plastiques de base
FR,2017Z,Fabrication de caoutchouc synthétique
FR,2020Z,Fabrication de pesticides et d'autres produits agrochimiques
FR,2030Z,"Fabrication de peintures, vernis, encres et mastics"
FR,2041Z,"Fabrication de savons, détergents et produits d'entretien"
FR,2042Z,Fabrication de parfums et de produits pour la toilette
FR,2051Z,Fabrication de produits explosifs
FR,2052Z,Fabrication de colles
FR,2053Z,Fabrication d'huiles essentielles
FR,2059Z,Fabrication d'autres produits chimiques n.c.a.
FR,2060Z,Fabrication de fibres artificielles ou synthétiques
FR,2110Z,Fabrication de produits pharmaceutiques de base
FR,2120Z,Fabrication de préparations pharmaceutiques
FR,2211Z,Fabrication et rechapage de pneumatiques
FR,2219Z,Fabrication d'autres articles en caoutchouc
FR,2221Z,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
FR,2222Z,Fabrication d'emballages en matières plastiques
FR,2223Z,Fabrication d'éléments en matières plastiques pour la construction
FR,2229A,Fabrication de pièces techniques à base de matières plastiques
FR,2229B,Fabrication de produits de consommation courante en matières plastiques
FR,2311Z,Fabrication de verre plat
FR,2312Z,Façonnage et transformation du verre plat
FR,2313Z,Fabrication de verre creux
FR,2314Z,Fabrication de fibres de verre
FR,2319Z,"Fabrication et façonnage d'autres articles en verre, y compris verre technique"
FR,2320Z,Fabrication de produits réfractaires
FR,2331Z,Fabrication de carreaux en céramique
FR,2332Z,"Fabrication de briques, tuiles et produits de construction, en terre cuite"
FR,2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental
FR,2342Z,Fabrication d'appareils sanitaires en céramique
FR,2343Z,Fabrication d'isolateurs et pièces isolantes en céramique
FR,2344Z,Fabrication d'autres produits céramiques à usage technique
FR,2349Z,Fabrication d'autres produits céramiques
FR,2351Z,Fabrication de ciment
FR,2352Z,Fabrication de chaux et plâtre
FR,2361Z,Fabrication d'éléments en béton pour la construction
FR,2362Z,Fabrication d'éléments en plâtre pour la construction
FR,2363Z,Fabrication de béton prêt à l'emploi
FR,2364Z,Fabrication de mortiers et bétons secs
FR,2365Z,Fabrication d'ouvrages en fibre-ciment
FR,2369Z,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
FR,2370Z,"Taille, façonnage et finissage de pierres"
FR,2391Z,Fabrication de produits abrasifs
FR,2399Z,Fabrication d'autres produits minéraux non métalliques n.c.a.
FR,2410Z,Sidérurgie
FR,2420Z,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
FR,2431Z,Étirage à froid de barres
FR,2432Z,Laminage à froid de feuillards
FR,2433Z,Profilage à froid par formage ou pliage
FR,2434Z,Tréfilage à froid
FR,2441Z,Production de métaux précieux
FR,2442Z,Métallurgie de l'aluminium
FR,2443Z,"Métallurgie du plomb, du zinc ou de l'étain"
FR,2444Z,Métallurgie du cuivre
FR,2445Z,Métallurgie des autres métaux non ferreux
FR,2446Z,Élaboration et transformation de matières nucléaires
FR,2451Z,Fonderie de fonte
FR,2452Z,Fonderie d'acier
FR,2453Z,Fonderie de métaux légers
FR,2454Z,Fonderie d'autres métaux non ferreux
FR,2511Z,Fabrication de structures métalliques et de parties de structures
FR,2512Z,Fabrication de portes et fenêtres en métal
FR,2521Z,Fabrication de radiateurs et de chaudières pour le chauffage central
FR,2529Z,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
FR,2530Z,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
FR,2540Z,Fabrication d'armes et de munitions
FR,2550A,"Forge, estampage, matriçage : métallurgie des poudres"
FR,2550B,"Découpage, emboutissage"
FR,2561Z,Traitement et revêtement des métaux
FR,2562A,Décolletage
FR,2562B,Mécanique industrielle
FR,2571Z,Fabrication de coutellerie
FR,2572Z,Fabrication de serrures et de ferrures
FR,2573A,Fabrication de moules et modèles
FR,2573B,Fabrication d'autres outillages
FR,2591Z,Fabrication de fûts et emballages métalliques similaires
FR,2592Z,Fabrication d'emballages métalliques légers
FR,2593Z,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts"
FR,2594Z,Fabrication de vis et de boulons
FR,2599A,Fabrication d'articles métalliques ménagers
FR,2599B,Fabrication d'autres articles métalliques
FR,2611Z,Fabrication de composants électroniques
